order_id,order_item_id,existing_profit,calculated_profit,difference,existing_margin,calculated_margin,existing_roi,calculated_roi
113-0012561-4093861,9315,119.09,0.00,-119.09,79.93,0.00,None,NULL
114-9845100-9221816,9306,69.84,0.00,-69.84,78.47,0.00,None,NULL
112-1386655-9213053,9532,170.03,0.00,-170.03,79.68,0.00,None,NULL
112-5539135-8670657,8981,29.44,-15.47,-44.91,16.76,-7.48,20.13,-11.29
112-2557715-2122646,9317,204.25,-12.22,-216.47,97.69,-4.97,4220.04,NULL
111-8572272-6899430,6649,8.84,0.00,-8.84,None,0.00,None,0.00
111-4791996-8384202,6651,-1713.03,-1551.75,161.28,-183.42,-166.15,-67.58,-65.38
111-1330348-5392243,9636,371.87,0.00,-371.87,90.22,0.00,None,NULL
112-5696638-1405039,8899,12.07,-13.38,-25.45,17.49,-16.48,21.2,-29.09
112-0529378-0362626,6683,-71.92,-64.04,7.88,-42.51,-37.85,-33.34,-30.81
111-7166375-1605059,8751,15.0,0.00,-15.00,84.99,0.00,None,NULL
113-1058015-9020208,1192,-7.34,0.00,7.34,None,NULL,None,NULL
112-7183359-7594659,9326,58.67,0.00,-58.67,74.27,0.00,None,NULL
111-9962758-3138654,9702,1480.02,0.00,-1480.02,84.51,0.00,None,NULL
112-6242828-4257853,9367,123.12,-127.86,-250.98,64.46,-170.68,181.35,-68.94
113-3845922-1931449,8423,21.74,-10.75,-32.49,17.22,-7.24,20.81,-10.95
111-1983924-8456200,6736,-56.28,-47.23,9.05,-58.55,-49.14,-40.79,-36.63
112-6443108-5029042,10159,-8.48,0.00,8.48,None,NULL,None,NULL
112-6325004-7135445,9304,24.88,-5.89,-30.77,83.71,-16.84,514.05,NULL
111-3163972-5985019,8385,-7.69,0.00,7.69,None,NULL,None,NULL
113-0076142-9325019,9403,69.84,0.00,-69.84,78.47,0.00,None,NULL
111-0170416-0478618,8902,26.85,-11.34,-38.19,20.98,-7.53,26.56,-12.03
111-8446645-6318601,9373,161.19,31.15,-130.04,80.35,26.40,409.01,52.37
114-0062644-8799448,6889,-1595.34,-1324.38,270.96,-256.27,-212.74,-74.44,-70.74
112-7331280-2901868,6892,-204.9,-187.74,17.16,-85.44,-78.28,-50.13,-47.94
111-5317415-5464269,8312,-7.34,0.00,7.34,None,NULL,None,NULL
114-8334293-3842642,9169,292.27,0.00,-292.27,85.78,0.00,None,NULL
112-1514244-6541842,8987,-1545.38,-25.12,1520.26,-282.44,-4.59,-77.2,-1.25
111-0804307-9156223,6922,4.7,-1.65,-6.35,None,-3.00,None,-3.92
114-5981158-5537843,8426,27.69,0.00,-27.69,20.0,0.00,25.0,0.00
111-7267258-7491463,9331,52.32,0.00,-52.32,75.83,0.00,None,NULL
112-0614030-2892245,8989,37.18,-12.64,-49.82,24.87,-7.19,33.1,-12.04
114-2132469-3973007,7003,133.44,0.00,-133.44,None,0.00,None,NULL
